Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A768798,"4021 STECK AVENUE
AUSTIN 78759
(30.37351, -97.75404)",Yes (come to the shelter),09/25/2024,Cat,Domestic Medium Hair Mix,Tortie,Spayed Female,14 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A768798
A913908,"2606 WHELESS LN
AUSTIN 78723
(30.31094, -97.68015)",Yes (come to the shelter),09/23/2024,Cat,Domestic Shorthair,Brown Tabby,Intact Male,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913908
A913909,"2606 WHELESS LN
AUSTIN 78723
(30.31094, -97.68015)",Yes (come to the shelter),09/23/2024,Cat,Domestic Shorthair,Brown Tabby,Intact Female,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913909
A914098,"5107 S IH
AUSTIN 78744",Yes (come to the shelter),09/26/2024,Dog,Labrador Retriever Mix,Brown Brindle/White,Intact Male,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A914098
A913910,"2606 WHELESS LN
AUSTIN 78723
(30.31094, -97.68015)",Yes (come to the shelter),09/23/2024,Cat,Domestic Shorthair,Black,Intact Male,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913910
A914097,0 TUMBLEWEED78753,Yes (come to the shelter),09/26/2024,Dog,Pit Bull,Black/Gray,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A914097
A914093,"7020 GRAND CANYON DR
AUSTIN 78752
(30.32606, -97.6951)",Yes (come to the shelter),09/26/2024,Cat,Domestic Shorthair,Tortie,Intact Female,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A914093
A914069,"1015 NORWOOD PARK BLVD
AUSTIN 78753
(30.33928, -97.69421)",Yes (come to the shelter),09/25/2024,Cat,Domestic Shorthair,Tortie,Unknown,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A914069
A914070,"1015 NORWOOD PARK BLVD
AUSTIN 78753
(30.33928, -97.69421)",Yes (come to the shelter),09/25/2024,Cat,Domestic Shorthair,Calico,Unknown,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A914070
A913982,"5408 ATASCOSA DR
AUSTIN 78758
(30.19193, -97.74041)",Yes (come to the shelter),09/24/2024,Cat,Domestic Medium Hair,Torbie,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A913982
A914102,"7104 BERKMAN DRIVE NORTHEAST
EARLY COLLEGE HS) AUSTIN 78752
(30.32378, -97.68993)",Yes (come to the shelter),09/26/2024,Dog,Labrador Retriever Mix,Black/White,Unknown,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A914102
A913788,"UNKNOWN AUSTIN 78745
(30.2046507, -97.797035)",Yes (come to the shelter),09/21/2024,Dog,Labrador Retriever,Black/Tan,Intact Male,10 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A913788
A913866,"9412 CROWN RIDGE RD
AUSTIN 78753
(30.356524992, -97.682377993)",Yes (come to the shelter),09/22/2024,Dog,Labrador Retriever Mix,Brown,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A913866
A913961,"5408 ATASCOSA DR
AUSTIN 78758
(30.19193, -97.74041)",Yes (come to the shelter),09/23/2024,Cat,Domestic Shorthair,Orange Tabby,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A913961
